"address","category","title"
"Compensation","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Airline Compensation Dispute"
"Contract Dispute","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Rental Car Insurance Dispute"
"Contractual Dispute","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Termination for Noncompliance"
"Contractual Interpretation","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Subleasing Dispute"
"Curated Registry","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Simon vs High-Quality Domain Registry Website"
"Digital Media","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Customer posted negative comment on social media site"
"E-commerce","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Is online shopping a good solution to solve the problem in buying essential needs during a lockdown period in this pandemic era?"
"Escrow","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Instagram Brand Promotion"
"Escrow - General Service","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Buyer's Dispute"
"Ethical Dilemma","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","The Trolley Problem"
"Fictional","0x99489d7bb33539f3d1a401741e56e8f02b9ae0cf","The Assassination Plot: The Case of Draco Malfoy vs. Albus Dumbledore"
"Final-Offer Arbitration","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Cruise Compensation Dispute"
"Governance","0x327a29fce0a6490e4236240be176daa282eccfdf","Proof of Humanity Governance Dispute"
"Governance","0x3a7edc1eb16cb454e4964ec51642f7d7b35b5292","Kleros Governance Dispute"
"Governance","0x59ccd73556719371361ccdba0d12d5e906f57aa8","Kleros Governance Dispute"
"Governance","0x7510c77163683448b8dc8fe9e019d9482be1ed2b","UBI DAO Governance Dispute"
"Governance","0x81dcc6246fe261035ffee91cd975faf3d3f3375f","Kleros Governance Dispute"
"Governance","0xe5bcea6f87aaee4a81f64dfdb4d30d400e0e5cf4","Kleros Governance Dispute"
"House Insurance","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Landlord of vacation rental refuses to return security deposit"
"Insurance","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","House Insurance Coverage Dispute"
"News","0x87aade1067ed0276ec9bef6db8e17abe27a6b454","An Article of Truth Post Was Challenged"
"Non-Technical","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Add Token to Registry"
"Omen","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Omen Market Question Dispute"
"Oracle","0x05295972f75cfee7fe66e6bddc0435c9fd083d18","A reality.eth question"
"Oracle","0x122d6b4197531bf4e9314fd00259b1dc1db7954d","A reality.eth question"
"Oracle","0x126697b552b83f08c7ebebae8d13eae2871e4e1e","Realitio Question"
"Oracle","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Greg vs The Horse Race Betting Website"
"Oracle","0x15daedbebf8083620ffbe9a675fb53b40c12d2ac","Realitio Question"
"Oracle","0x179d8f8c811b8c759c33809dbc6c5cedc62d05dd","A reality.eth question"
"Oracle","0x1c2811550551d84030cd1b608e6fe3fd6fd5fc0d","A reality.eth question"
"Oracle","0x2018038203aee8e7a29dabd73771b0355d4f85ad","A reality.eth question"
"Oracle","0x20e1d44c64ec03ece12133743bec7019f3aae373","A reality.eth question"
"Oracle","0x2f0895732bfacdcf2fdb19962fe609d0da695f21","A reality.eth question"
"Oracle","0x32bcdc9776692679cfbbf8350bad67da13faaa3f","A reality.eth question"
"Oracle","0x395ba214c57a8e5270c094f4f8d85edcefb38940","A reality.eth question"
"Oracle","0x3fb8314c628e9afe7677946d3e23443ce748ac17","A reality.eth question"
"Oracle","0x412c0617f357e640406ff0b4ee55f547c3692ba7","A reality.eth question"
"Oracle","0x46bf687bb3eb392d2667ee37b4ad96addb7f09bb","A reality.eth question"
"Oracle","0x4a7e264b67852ea8b737e505739cb557c7c43c00","A reality.eth question"
"Oracle","0x54811e1157ccc2be68ce4cc850e5ab3382fe627f","A reality.eth question"
"Oracle","0x55914a8df5b1647f78ba8aaf3f5aa79c1965aa4d","Realitio Question"
"Oracle","0x57adb6aa9edaa9abfd495b519d94d08f47321e26","Realitio Question"
"Oracle","0x6341ec8f3f23689bd6ea3cf82fe34c3a0481c30a","A reality.eth question"
"Oracle","0x68c4cc21378301cfdd5702d66d58a036d7bafe28","A reality.eth question"
"Oracle","0x701cabaf65ed3974925fb94988842a29d2ce7aa3","Realitio Question"
"Oracle","0x728cba71a3723caab33ea416cb46e2cc9215a596","A reality.eth question"
"Oracle","0x776e5853e3d61b2dfb22bcf872a43bf9a1231e52","A reality.eth question"
"Oracle","0x786968f4ddd061292b5b5ed1655694efdd6cbef1","Realitio Question"
"Oracle","0x79d0464ec27f67663dadf761432fc8dd0aea3d49","Realitio Question"
"Oracle","0x8453ba2c9ea5bae36fde6cbd61c12c05b6552425","A reality.eth question"
"Oracle","0x87f58f0dcf3c99ba2f3eb0604e5c335893e2eaf9","A reality.eth question"
"Oracle","0x890deb4111f92fe9447e83abef1b754372d6770e","A reality.eth question"
"Oracle","0x8feab350a304140b1593a38a13607d122bec44b6","A reality.eth question"
"Oracle","0x96bff8544077c68d542037467c1251b253bd8fc7","Realitio Question"
"Oracle","0xa353a70c8b3c7d38a869436d4cdebe8e5611681a","A reality.eth question"
"Oracle","0xafffbea35c395e4bd246b4834071d01498151b16","Realitio Question"
"Oracle","0xbbb9a4ddbbcc89d2428002bec854f8d99af60d36","A reality.eth question"
"Oracle","0xbeeb211cfe6632e75992488a66f65b0477fbe96b","A reality.eth question"
"Oracle","0xc45d8d9b2b6843528a4dc2d8b5858e5c258d2992","A reality.eth question"
"Oracle","0xcb4b48d2a7a44247a00048963f169d2b4ab045a6","A reality.eth question"
"Oracle","0xce9b84c5612beaa234ad0d9fa7d283293479510e","Realitio Question"
"Oracle","0xd47f72a2d1d0e91b0ec5e5f5d02b2dc26d00a14d","Realitio Question"
"Oracle","0xd6bf90e1daaa5cdec82235d2db1b93a9d50c6046","A reality.eth question"
"Oracle","0xd7e143715a4244634d74201959372e81a3623a2a","Realitio Question"
"Oracle","0xd8b33e3f5426db753d1c6c78b43d5151970cd928","A reality.eth question"
"Oracle","0xdb21022608879dc1e41f21feb3f0019137a05db8","Realitio Question"
"Oracle","0xeafb9c157b24535ccdb150555edfe6ee66239a2d","A reality.eth question"
"Oracle","0xef2ae6961ec7f2105bc2693bc32fa7b7386b2f59","A reality.eth question"
"Oracle","0xf0b37feda6cdf5f78b37e1fbccc24969059f2044","A reality.eth question"
"Oracle","0xf5ccbf74121edba492725f325d55356d517723b9","A reality.eth question"
"Oracle","0xf72cfd1b34a91a64f9a98537fe63fbab7530adca","A reality.eth question"
"Oracle","0xfe0eb5fc686f929eb26d541d75bb59f816c0aa68","A reality.eth question"
"Oracle","0xff32eff53459485074b4db14633252c9dca3791a","A reality.eth question"
"Oracle - News and Politics","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","North Korea's dictator Kim Jong-un is dead"
"Refunds","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Pet Shop Refund Dispute"
"Tenancy","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Bond Escrow Dispute"
"Tenancy","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Security Deposit Escrow Dispute"
"Tenancy","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Security Deposit Escrow Dispute"
"Tenancy","0x135c573503f70dc290b1d60fe2e7f7eb114febd6","Lease Conversion Dispute"
"Translation","0x0bc3b51673dcdf3b45c628066761da7331e8fba2","Review a translation from Linguo"
"Translation","0x0bc3b51673dcdf3b45c628066761da7331e8fba2","Review a translation from Linguo"
"Translation","0x1c839fd542563182bfd0c337c8aad1be412f0fd2","Review a translation from Linguo"
"Translation","0x1c839fd542563182bfd0c337c8aad1be412f0fd2","Review a translation from Linguo"
"Translation","0x1c839fd542563182bfd0c337c8aad1be412f0fd2","Review a translation from Linguo"
"Translation","0x1c839fd542563182bfd0c337c8aad1be412f0fd2","Review a translation from Linguo"
"Translation","0x1c839fd542563182bfd0c337c8aad1be412f0fd2","Review a translation from Linguo"
"Translation","0x1c839fd542563182bfd0c337c8aad1be412f0fd2","Review a translation from Linguo"
"Translation","0x44863f5b7aab7cee181c0d84e244540125ef7af7","Review a translation from Linguo"
"Translation","0x44863f5b7aab7cee181c0d84e244540125ef7af7","Review a translation from Linguo"
"Translation","0x44863f5b7aab7cee181c0d84e244540125ef7af7","Review a translation from Linguo"
"Translation","0x44863f5b7aab7cee181c0d84e244540125ef7af7","Review a translation from Linguo"
"Translation","0x44863f5b7aab7cee181c0d84e244540125ef7af7","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x460f688f655610de5e3d92beb7892fa200b9060d","Review a translation from Linguo"
"Translation","0x464c84c41f3c25ba5a75b006d8b20600a8777306","Review a translation from Linguo"
"Translation","0x464c84c41f3c25ba5a75b006d8b20600a8777306","Review a translation from Linguo"
"Translation","0x464c84c41f3c25ba5a75b006d8b20600a8777306","Review a translation from Linguo"
"Translation","0x464c84c41f3c25ba5a75b006d8b20600a8777306","Review a translation from Linguo"
"Translation","0x464c84c41f3c25ba5a75b006d8b20600a8777306","Review a translation from Linguo"
"Translation","0x464c84c41f3c25ba5a75b006d8b20600a8777306","Review a translation from Linguo"
"Translation","0x48032ad54db49d8e0d4f135a687b98e5731961f9","Review a translation from Linguo"
"Translation","0x48032ad54db49d8e0d4f135a687b98e5731961f9","Review a translation from Linguo"
"Translation","0xa3e4348bddc32afcedc5e088e0e21fd6154a0180","Review a translation from Linguo"
"Translation","0xa3e4348bddc32afcedc5e088e0e21fd6154a0180","Review a translation from Linguo"
"Translation","0xa3e4348bddc32afcedc5e088e0e21fd6154a0180","Review a translation from Linguo"
"Translation","0xa3e4348bddc32afcedc5e088e0e21fd6154a0180","Review a translation from Linguo"
"Translation","0xa3e4348bddc32afcedc5e088e0e21fd6154a0180","Review a translation from Linguo"
"Translation","0xa3e4348bddc32afcedc5e088e0e21fd6154a0180","Review a translation from Linguo"
"Translation","0xab0d90943a58b1a64c0171ee8e743d9998be6ac3","Review a translation from Linguo"
"Translation","0xab0d90943a58b1a64c0171ee8e743d9998be6ac3","Review a translation from Linguo"
"Translation","0xd67c12734dc12240a6324db63ccd426964b71fe7","Review a translation from Linguo"
"Translation","0xd67c12734dc12240a6324db63ccd426964b71fe7","Review a translation from Linguo"
"Translation","0xd67c12734dc12240a6324db63ccd426964b71fe7","Review a translation from Linguo"
"Translation","0xd67c12734dc12240a6324db63ccd426964b71fe7","Review a translation from Linguo"
"Translation","0xd67c12734dc12240a6324db63ccd426964b71fe7","Review a translation from Linguo"
"Translation","0xd67c12734dc12240a6324db63ccd426964b71fe7","Review a translation from Linguo"
"Translation","0xd8f8019c025c2ba6745543d9a3c338de1b98c103","Review a translation from Linguo"
"Translation","0xd8f8019c025c2ba6745543d9a3c338de1b98c103","Review a translation from Linguo"
"Translation","0xd8f8019c025c2ba6745543d9a3c338de1b98c103","Review a translation from Linguo"
"Translation","0xf1a9589880dbf393f32a5b2d5a0054fa10385074","Review a translation from Linguo"
"Translation","0xfee86325d5c96ae9e20eabe7b157813c67bbccfa","Review a translation from Linguo"
"Translation","0xfee86325d5c96ae9e20eabe7b157813c67bbccfa","Review a translation from Linguo"
